ncode,pdate,pmt,tdate
1099456,31/10/2024,6.2671,08/04/2024
1099456,31/10/2025,6.25,08/04/2024
1099456,30/10/2026,106.25,08/04/2024
1125400,31/01/2025,5.5151,08/04/2024
1125400,30/01/2026,5.5,08/04/2024
1125400,31/01/2027,5.5,08/04/2024
1125400,31/01/2028,5.5,08/04/2024
1125400,31/01/2029,5.5,08/04/2024
1125400,31/01/2030,5.5,08/04/2024
1125400,31/01/2031,5.5,08/04/2024
1125400,30/01/2032,5.5,08/04/2024
1125400,31/01/2033,5.5,08/04/2024
1125400,31/01/2034,5.5,08/04/2024
1125400,31/01/2035,5.5,08/04/2024
1125400,31/01/2036,5.5,08/04/2024
1125400,30/01/2037,5.5,08/04/2024
1125400,31/01/2038,5.5,08/04/2024
1125400,31/01/2039,5.5,08/04/2024
1125400,31/01/2040,5.5,08/04/2024
1125400,31/01/2041,5.5,08/04/2024
1125400,31/01/2042,105.5,08/04/2024
1135557,30/08/2024,1.75,08/04/2024
1135557,31/08/2025,101.75,08/04/2024
1139344,31/03/2025,2,08/04/2024
1139344,31/03/2026,2,08/04/2024
1139344,31/03/2027,102,08/04/2024
1140193,31/03/2025,3.75,08/04/2024
1140193,31/03/2026,3.75,08/04/2024
1140193,31/03/2027,3.75,08/04/2024
1140193,31/03/2028,3.75,08/04/2024
1140193,30/03/2029,3.75,08/04/2024
1140193,31/03/2030,3.75,08/04/2024
1140193,31/03/2031,3.75,08/04/2024
1140193,31/03/2032,3.75,08/04/2024
1140193,31/03/2033,3.75,08/04/2024
1140193,31/03/2034,3.75,08/04/2024
1140193,30/03/2035,3.75,08/04/2024
1140193,31/03/2036,3.75,08/04/2024
1140193,30/03/2037,3.75,08/04/2024
1140193,31/03/2038,3.75,08/04/2024
1140193,31/03/2039,3.75,08/04/2024
1140193,30/03/2040,3.75,08/04/2024
1140193,31/03/2041,3.75,08/04/2024
1140193,31/03/2042,3.75,08/04/2024
1140193,31/03/2043,3.75,08/04/2024
1140193,31/03/2044,3.75,08/04/2024
1140193,31/03/2045,3.75,08/04/2024
1140193,30/03/2046,3.75,08/04/2024
1140193,31/03/2047,103.75,08/04/2024
1150879,30/09/2024,2.2623,08/04/2024
1150879,30/09/2025,2.25,08/04/2024
1150879,30/09/2026,2.25,08/04/2024
1150879,30/09/2027,2.25,08/04/2024
1150879,28/09/2028,102.25,08/04/2024
1160985,31/03/2025,1,08/04/2024
1160985,31/03/2026,1,08/04/2024
1160985,31/03/2027,1,08/04/2024
1160985,31/03/2028,1,08/04/2024
1160985,30/03/2029,1,08/04/2024
1160985,31/03/2030,101,08/04/2024
1162668,30/04/2024,0.5014,08/04/2024
1162668,30/04/2025,100.5,08/04/2024
1166180,31/05/2024,1.5041,08/04/2024
1166180,30/05/2025,1.5,08/04/2024
1166180,31/05/2026,1.5,08/04/2024
1166180,31/05/2027,1.5,08/04/2024
1166180,30/05/2028,1.5,08/04/2024
1166180,31/05/2029,1.5,08/04/2024
1166180,31/05/2030,1.5,08/04/2024
1166180,30/05/2031,1.5,08/04/2024
1166180,31/05/2032,1.5,08/04/2024
1166180,31/05/2033,1.5,08/04/2024
1166180,31/05/2034,1.5,08/04/2024
1166180,31/05/2035,1.5,08/04/2024
1166180,30/05/2036,1.5,08/04/2024
1166180,31/05/2037,101.5,08/04/2024
1174697,28/02/2025,0.5,08/04/2024
1174697,27/02/2026,100.5,08/04/2024
1180660,30/04/2024,1.3036,08/04/2024
1180660,30/04/2025,1.3,08/04/2024
1180660,30/04/2026,1.3,08/04/2024
1180660,30/04/2027,1.3,08/04/2024
1180660,30/04/2028,1.3,08/04/2024
1180660,30/04/2029,1.3,08/04/2024
1180660,30/04/2030,1.3,08/04/2024
1180660,30/04/2031,1.3,08/04/2024
1180660,30/04/2032,101.3,08/04/2024
1184076,29/11/2024,2.8,08/04/2024
1184076,30/11/2025,2.8,08/04/2024
1184076,30/11/2026,2.8,08/04/2024
1184076,30/11/2027,2.8,08/04/2024
1184076,30/11/2028,2.8,08/04/2024
1184076,30/11/2029,2.8,08/04/2024
1184076,29/11/2030,2.8,08/04/2024
1184076,30/11/2031,2.8,08/04/2024
1184076,30/11/2032,2.8,08/04/2024
1184076,30/11/2033,2.8,08/04/2024
1184076,30/11/2034,2.8,08/04/2024
1184076,30/11/2035,2.8,08/04/2024
1184076,30/11/2036,2.8,08/04/2024
1184076,30/11/2037,2.8,08/04/2024
1184076,30/11/2038,2.8,08/04/2024
1184076,30/11/2039,2.8,08/04/2024
1184076,30/11/2040,2.8,08/04/2024
1184076,29/11/2041,2.8,08/04/2024
1184076,30/11/2042,2.8,08/04/2024
1184076,30/11/2043,2.8,08/04/2024
1184076,30/11/2044,2.8,08/04/2024
1184076,30/11/2045,2.8,08/04/2024
1184076,30/11/2046,2.8,08/04/2024
1184076,29/11/2047,2.8,08/04/2024
1184076,30/11/2048,2.8,08/04/2024
1184076,30/11/2049,2.8,08/04/2024
1184076,30/11/2050,2.8,08/04/2024
1184076,30/11/2051,2.8,08/04/2024
1184076,29/11/2052,102.8,08/04/2024
1194802,28/02/2025,3.75,08/04/2024
1194802,27/02/2026,3.75,08/04/2024
1194802,28/02/2027,3.75,08/04/2024
1194802,29/02/2028,3.75,08/04/2024
1194802,28/02/2029,103.75,08/04/2024
1202332,31/03/2025,4,08/04/2024
1202332,31/03/2026,4,08/04/2024
1202332,31/03/2027,4,08/04/2024
1202332,31/03/2028,4,08/04/2024
1202332,30/03/2029,4,08/04/2024
1202332,31/03/2030,4,08/04/2024
1202332,31/03/2031,4,08/04/2024
1202332,31/03/2032,4,08/04/2024
1202332,31/03/2033,4,08/04/2024
1202332,31/03/2034,4,08/04/2024
1202332,30/03/2035,104,08/04/2024
1203579,30/09/2024,2.4349,08/04/2024
1203579,30/09/2025,3.75,08/04/2024
1203579,30/09/2026,3.75,08/04/2024
1203579,30/09/2027,103.75,08/04/2024
8240814,07/08/2024,100,08/04/2024
8240913,04/09/2024,100,08/04/2024
8241010,02/10/2024,100,08/04/2024
8241119,06/11/2024,100,08/04/2024
8241218,04/12/2024,100,08/04/2024
8250128,08/01/2025,100,08/04/2024
8250219,05/02/2025,100,08/04/2024
8250318,05/03/2025,100,08/04/2024
8250417,02/04/2025,100,08/04/2024