t1,t2,wgt,b0,b1,b2,b3
0.00,0.25,0.01,0.0460000,0.000000,0.000000,0.000000
0.25,0.50,0.01,0.0563393,-0.041357,0.000000,0.000000
0.50,1.00,0.01,0.0299764,0.011369,0.000000,0.000000
1.00,2.00,0.01,0.0434028,-0.002058,0.000000,0.000000
2.00,3.00,1.00,0.0293651,0.004961,0.000000,0.000000
3.00,5.00,1.00,0.0454746,-0.000409,0.000000,0.000000
5.00,7.00,1.00,0.0307152,0.002543,0.000000,0.000000
7.00,10.00,1.00,0.0351016,0.001916,0.000000,0.000000
10.00,15.00,1.00,0.0515720,0.000269,0.000000,0.000000
15.00,20.00,1000.00,0.0556845,-0.000005,0.000000,0.000000
20.00,30.00,1000.00,0.0657445,-0.000508,0.000000,0.000000
30.00,99.00,1000.00,0.0577085,-0.000240,0.000000,0.000000