ncode,tdate,price
1099456,08/04/2024,107.92
1125400,08/04/2024,108.8
1135557,08/04/2024,97.95
1139344,08/04/2024,94.31
1140193,08/04/2024,83.65
1150879,08/04/2024,93.4
1160985,08/04/2024,83.19
1162668,08/04/2024,96.84
1166180,08/04/2024,69.94
1174697,08/04/2024,93.69
1180660,08/04/2024,80.51
1184076,08/04/2024,67.67
1194802,08/04/2024,98.39
1202332,08/04/2024,95.22
1203579,08/04/2024,99.41
8240814,08/04/2024,98.64
8240913,08/04/2024,98.36
8241010,08/04/2024,98.01
8241119,08/04/2024,97.65
8241218,08/04/2024,97.35
8250128,08/04/2024,96.98
8250219,08/04/2024,96.71
8250318,08/04/2024,96.44
8250417,08/04/2024,96.11